time_step_counter,growing_season,dap,th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,Date
97.0,1.0,84.0,0.1483851813696238,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2551177154104265,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-06
98.0,1.0,85.0,0.1481426680417377,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2524409908628027,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-07
99.0,1.0,86.0,0.1479489608668244,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.25189237355976085,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-08
100.0,1.0,87.0,0.14781995749608332,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.25189237355976085,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-09
101.0,1.0,88.0,0.14766118524902183,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2518580433099455,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-10
102.0,1.0,89.0,0.14746874228847334,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.2491825419280737,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-11
103.0,1.0,90.0,0.14728377562824246,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.24575260464276322,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-12
104.0,1.0,91.0,0.14709171839215132,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.24035900878265984,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-13
105.0,1.0,92.0,0.14687560471038355,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.2870000000000001,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-14
106.0,1.0,93.0,0.14669374938128393,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.2867958266447223,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-15
107.0,1.0,94.0,0.14645078795062783,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.2800817993770332,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-16
108.0,1.0,95.0,0.14635072600578042,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.27936347596821565,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-17
109.0,1.0,96.0,0.14612948876495435,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.2636384442033284,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-18
110.0,1.0,97.0,0.14592841508379528,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.24637326992049075,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-19
111.0,1.0,98.0,0.14580195543061708,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23934626069524598,0.2870000000000001,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-20
112.0,1.0,99.0,0.14570046707855175,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2857079031194481,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-21
113.0,1.0,100.0,0.14559183318580068,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.27987389220482695,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-22
114.0,1.0,101.0,0.15587017825554295,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796817824092647,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-23
115.0,1.0,102.0,0.22791809466260587,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-24
116.0,1.0,103.0,0.2892996592162178,0.2385906116820915,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-25
117.0,1.0,104.0,0.2933965546432123,0.24034689877235244,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-26
118.0,1.0,105.0,0.287553656926415,0.24524207593741582,0.23676670230995311,0.23464440584327714,0.23479541703842755,0.23735470727082636,0.2796530472788604,0.28700000000000003,0.2870000000000001,0.28700000000000003,0.28700000000000003,0.2870000000000001,2025-01-27
